actual_rating,predicted_rating,residual
7.19,6.8262725,0.36372751235961953
7.06,7.2841997,-0.22419971466064492
7.1,6.2079277,0.8920722961425778
6.43,6.8799767,-0.4499767494201663
7.65,7.745018,-0.0950180053710934
6.13,5.6999454,0.43005455017089833
5.87,5.937632,-0.06763208389282216
7.31,7.4359374,-0.12593740463256875
7.97,7.859379,0.11062118530273413
4.69,4.822109,-0.13210922241210898
5.35,5.2952423,0.054757690429687145
6.34,6.964211,-0.6242109870910646
7.27,7.2703915,-0.0003914642333988638
5.54,5.6992717,-0.1592716789245605
5.6,5.417763,0.1822367668151852
7.63,7.8048463,-0.17484628677368175
5.88,5.800091,0.07990921020507802
6.23,6.673393,-0.4433927726745601
7.2,7.0161743,0.18382568359375018
5.67,5.580152,0.08984796524047844
6.66,7.0221233,-0.36212333679199205
4.87,5.0710454,-0.2010453987121581
5.71,5.812337,-0.10233692169189457
6.56,7.1730237,-0.6130237007141117
7.1,6.1987877,0.9012123107910153
5.85,5.7261577,0.1238423347473141
7.15,6.887508,0.2624920845031742
6.39,5.765939,0.6240607643127438
5.83,6.221747,-0.39174692153930657
5.78,6.7722726,-0.9922725868225095
8.37,7.806204,0.5637961578369133
4.56,5.258409,-0.6984090232849125
5.34,5.086028,0.25397190093994126
7.11,6.0378647,1.0721353149414066
6.51,6.621883,-0.11188291549682639
6.69,6.670238,0.01976198196411172
7.84,8.004983,-0.1649829483032228
6.91,6.8328285,0.07717147827148452
7.13,6.804838,0.3251618194580077
7.9,7.7131147,0.1868852615356449
8.85,7.6813927,1.1686073303222653
7.48,7.568406,-0.08840610504150348
4.73,5.125975,-0.39597513198852496
6.89,6.8441696,0.04583038330078093
4.49,4.274454,0.21554588317871115
6.6,6.5032716,0.096728420257568
7.94,7.6788273,0.26117271423339883
5.04,5.2854705,-0.24547048568725582
7.16,6.9449735,0.21502653121948256
5.57,5.1898355,0.3801644515991214
7.34,7.245494,0.09450611114501939
6.31,7.101946,-0.7919458770751957
7.58,7.156497,0.42350299835205085
5.01,5.2808857,-0.270885696411133
6.87,7.202344,-0.3323439407348632
6.36,5.923448,0.4365519142150882
7.95,7.8062816,0.14371843338012713
7.01,6.592054,0.4179461097717283
5.2,5.5520973,-0.35209732055664045
6.96,7.0256567,-0.06565670013427738
5.35,5.934815,-0.5848149299621586
5.0,4.869043,0.13095712661743164
5.98,6.2346215,-0.2546215248107906
6.3,5.871238,0.4287617683410643
8.03,8.595189,-0.5651890945434577
5.21,5.260901,-0.050900974273681676
6.61,7.1642213,-0.5542212867736813
6.63,7.0210743,-0.3910742950439454
6.47,6.408119,0.0618807983398435
6.85,6.7679048,0.0820952415466305
4.49,5.0501037,-0.5601036643981931
6.62,6.658013,-0.03801286697387685
8.2,8.1915655,0.008434486389159446
6.74,6.8120394,-0.07203937530517557
5.43,5.297133,0.13286703109741183
6.01,6.160738,-0.15073799133300803
5.95,6.8929195,-0.9429195404052733
5.52,5.7263966,-0.20639656066894574
6.74,6.8048964,-0.06489635467529276
6.16,5.8710213,0.288978729248047
4.38,4.659047,-0.27904712677001964
6.13,6.088633,0.04136693954467763
6.3,6.0920024,0.20799760818481428
5.1,5.551198,-0.4511980056762699
7.14,5.842347,1.2976528549194333
5.96,5.8356857,0.12431427001953121
8.22,8.410665,-0.1906645584106439
7.19,6.9376407,0.25235933303833047
6.78,6.3645053,0.4154947090148928
8.33,8.097252,0.23274810791015632
6.18,6.3219676,-0.14196760177612333
7.67,7.0542197,0.6157802772521972
6.9,7.068847,-0.16884717941284144
7.05,6.639927,0.4100730895996092
6.19,6.496738,-0.30673795700073203
5.06,5.2876573,-0.22765726089477578
7.04,7.1445336,-0.10453363418579098
6.15,5.784725,0.365274810791016
6.37,5.9494267,0.42057334899902354
7.19,7.5285444,-0.3385444259643551
5.62,5.031048,0.5889521789550782
5.44,5.160635,0.27936500549316445
7.77,7.748052,0.02194787979125934
5.67,6.366217,-0.6962171363830567
6.25,5.95571,0.29429006576538086
5.94,6.2849607,-0.34496074676513633
5.36,5.8572664,-0.49726642608642546
6.79,6.798863,-0.008862934112548793
5.52,4.849108,0.6708917808532711
6.25,6.2027726,0.04722738265991211
6.13,6.107353,0.022646789550781143
7.11,6.1708407,0.9391592597961429
5.93,5.6687264,0.26127355575561495
6.04,6.4213376,-0.38133760452270504
7.01,7.3129044,-0.30290435791015646
6.34,6.2472696,0.09273036956787095
5.69,5.4286427,0.26135725021362344
6.92,7.029843,-0.10984285354614265
5.76,5.833859,-0.07385896682739279
5.43,5.759225,-0.32922489166259794
7.22,6.8778067,0.34219333648681616
6.92,6.558365,0.36163513183593743
5.93,5.64486,0.28514020919799776
6.29,6.655991,-0.36599107742309567
6.93,6.5795946,0.3504053878784177
6.24,6.0336256,0.20637439727783224
5.7,6.2027316,-0.5027316093444822
7.34,7.351296,-0.011295948028564595
5.16,5.550421,-0.3904212379455565
